2PA,3P,AST,Age,BLK,Draft Placing,MP,PF,PTS,STL,TOV,TRB,US or EU,eFG%
7.9,0.0,2.5,23,0.4,32.0,17.7,2.3,8.5,0.6,1.4,5.2,US,42.9
2.4,0.1,0.6,26,0.1,32.0,6.1,0.7,2.8,0.1,0.4,1.5,US,43.9
3.9,0.6,1.5,27,0.2,32.0,18.2,1.9,6.1,0.7,0.8,4.1,US,44.4
0.9,0.5,0.3,27,0.0,32.0,4.4,0.3,2.7,0.1,0.1,1.4,US,53.79999999999999
4.5,0.7,1.7,27,0.3,32.0,20.9,2.1,6.7,0.8,1.0,4.6,US,43.8
2.9,0.7,1.4,28,0.2,32.0,15.0,1.4,5.2,0.6,0.8,3.2,US,48.7
2.1,0.7,1.0,29,0.2,32.0,11.2,1.2,4.3,0.4,0.5,2.4,US,50.5
0.2,0.0,0.0,19,0.0,44.0,1.5,0.2,0.0,0.3,0.0,0.7,EU,0.0
0.8,0.0,0.0,19,0.3,47.0,2.7,0.1,1.2,0.1,0.2,0.8,US,44.4
2.5,0.0,0.1,25,1.3,,20.8,2.3,3.5,0.4,0.7,3.9,US,46.7
1.8,0.0,0.4,26,1.4,,16.1,2.1,2.2,0.3,0.6,3.0,US,48.3
2.0,0.0,0.2,27,1.4,,16.5,2.0,2.7,0.3,0.6,3.1,US,47.8
1.3,0.0,0.3,28,1.2,,19.5,2.6,2.0,0.1,0.5,3.5,US,53.5
2.4,0.0,0.1,29,1.3,,21.1,2.0,3.4,0.6,0.7,3.9,US,55.89999999999999
1.1,0.0,0.2,30,0.7,,9.1,0.8,1.4,0.2,0.4,1.9,US,51.5
1.0,0.0,0.1,31,0.4,,5.6,0.5,0.8,0.1,0.1,1.2,US,37.5
0.5,0.0,0.0,31,0.3,,3.1,0.3,0.5,0.0,0.1,0.6,US,33.300000000000004
1.2,0.0,0.1,31,0.4,,7.1,0.6,1.0,0.1,0.1,1.5,US,38.5
1.3,0.0,0.1,32,1.0,,8.3,1.1,1.8,0.2,0.2,1.9,US,58.1
