,2P,2P%,2PA,3P,3PA,AST,Age,BLK,Country or State,DRB,Draft Placing,FG,FG%,FGA,FT,FTA,G,GS,Height,MP,ORB,PF,PTS,STL,Season,TOV,TRB,Tm,US or EU,Weight,Year in League,eFG%
135,0.7,33.300000000000004,2.0,0.0,0.0,0.3,25,0.7,new york,1.5,12.0,0.7,0.333,2.0,0.3,0.3,6,0.0,2.1082,9.3,0.8,0.8,1.7,0.3,2009-10,0.7,2.3,SAC,US,106.59433371737532,6.0,33.300000000000004
136,0.6,31.3,1.8,0.0,0.1,0.3,25,0.0,new york,0.1,12.0,0.6,0.294,1.9,0.0,0.2,9,0.0,2.1082,4.4,0.6,1.1,1.1,0.6,2009-10,0.6,0.7,HOU,US,106.59433371737532,7.0,29.4
137,0.7,48.6,1.4,0.0,0.1,0.3,26,0.4,new york,1.7,12.0,0.7,0.487,1.4,0.3,0.6,53,2.0,2.1082,9.2,0.8,1.6,1.7,0.3,2010-11,0.5,2.5,TOT,US,106.59433371737532,8.0,50.0
138,0.7,49.20000000000001,1.5,0.0,0.1,0.2,26,0.4,new york,1.8,12.0,0.8,0.484,1.6,0.3,0.6,41,2.0,2.1082,10.0,1.0,1.8,1.9,0.4,2010-11,0.6,2.8,WAS,US,106.59433371737532,9.0,49.20000000000001
139,0.4,45.5,0.9,0.1,0.1,0.3,26,0.4,new york,1.2,12.0,0.5,0.5,1.0,0.2,0.8,12,0.0,2.1082,6.3,0.3,0.8,1.3,0.3,2010-11,0.3,1.4,ATL,US,106.59433371737532,10.0,54.2
140,0.6,47.4,1.3,0.0,0.0,0.3,29,0.3,new york,1.9,12.0,0.6,0.474,1.3,0.5,1.1,15,1.0,2.1082,6.5,1.3,0.7,1.7,0.3,2013-14,0.4,3.1,GSW,US,106.59433371737532,13.0,47.4
141,1.0,55.3,1.7,0.0,0.0,0.4,24,0.7,turkey,2.4,36.0,1.0,0.5529999999999999,1.7,0.9,1.8,82,0.0,2.1336,12.1,1.4,1.9,2.8,0.2,2010-11,0.8,3.7,CHI,EU,115.66619190608813,1.0,55.3
142,1.2,50.6,2.4,0.0,0.0,0.5,25,1.0,turkey,3.4,36.0,1.2,0.506,2.4,0.7,1.6,66,2.0,2.1336,14.7,1.9,1.8,3.1,0.5,2011-12,1.0,5.3,CHI,EU,115.66619190608813,2.0,50.6
143,4.0,54.2,7.5,0.0,0.0,0.9,26,1.1,turkey,8.3,36.0,4.0,0.541,7.5,2.0,3.6,82,82.0,2.1336,30.0,3.4,2.7,10.1,0.6,2012-13,2.1,11.7,HOU,EU,115.66619190608813,3.0,54.1
144,2.1,53.2,4.0,0.0,0.0,0.5,27,0.8,turkey,5.8,36.0,2.1,0.532,4.0,1.6,2.6,48,19.0,2.1336,20.2,2.1,1.9,5.8,0.3,2013-14,1.2,7.9,HOU,EU,115.66619190608813,4.0,53.2
145,2.8,51.7,5.4,0.0,0.0,0.9,28,0.7,turkey,6.6,36.0,2.8,0.517,5.4,1.7,3.0,76,76.0,2.1336,26.1,3.2,1.9,7.3,0.4,2014-15,1.3,9.8,NOP,EU,115.66619190608813,5.0,51.7
146,1.5,53.29999999999999,2.9,0.0,0.0,0.4,29,0.3,turkey,4.3,36.0,1.5,0.5329999999999999,2.9,0.9,1.6,68,64.0,2.1336,17.3,1.8,1.8,4.0,0.3,2015-16,0.9,6.1,NOP,EU,115.66619190608813,6.0,53.29999999999999
147,1.0,47.699999999999996,2.1,0.0,0.0,0.5,30,0.3,turkey,3.7,36.0,1.0,0.477,2.1,0.7,1.3,31,19.0,2.1336,15.5,1.5,1.6,2.7,0.2,2016-17,0.5,5.3,NOP,EU,115.66619190608813,7.0,47.699999999999996
148,0.5,40.9,1.2,0.0,0.0,0.2,31,0.2,turkey,2.1,36.0,0.5,0.409,1.2,0.2,0.7,18,0.0,2.1336,10.1,0.5,1.1,1.2,0.1,2017-18,0.5,2.6,TOT,EU,115.66619190608813,8.0,40.9
149,0.5,43.8,1.1,0.0,0.0,0.1,31,0.1,turkey,2.1,36.0,0.5,0.438,1.1,0.3,0.9,14,0.0,2.1336,8.6,0.5,1.0,1.3,0.1,2017-18,0.4,2.6,NOP,EU,115.66619190608813,9.0,43.8
150,0.5,33.300000000000004,1.5,0.0,0.0,0.3,31,0.5,turkey,2.0,36.0,0.5,0.333,1.5,0.0,0.3,4,0.0,2.1336,15.3,0.5,1.5,1.0,0.3,2017-18,1.0,2.5,CHI,EU,115.66619190608813,10.0,33.300000000000004
151,0.7,45.7,1.5,0.0,0.0,0.2,22,0.1,california,0.8,48.0,0.7,0.457,1.5,0.6,1.0,31,0.0,2.0828,3.6,0.4,0.6,2.0,0.1,1991-92,0.3,1.1,UTA,US,115.66619190608813,1.0,45.7
152,1.1,45.0,2.4,0.0,0.0,0.1,23,0.3,california,0.9,48.0,1.1,0.446,2.4,0.6,1.0,46,3.0,2.0828,6.7,0.8,1.3,2.8,0.2,1992-93,0.5,1.7,UTA,US,115.66619190608813,2.0,44.6
153,2.1,44.6,4.6,0.0,0.1,1.2,24,0.7,california,3.1,48.0,2.1,0.439,4.7,1.0,1.6,14,0.0,2.0828,14.4,1.8,2.1,5.1,0.4,1993-94,1.2,4.9,PHI,US,115.66619190608813,3.0,43.9
154,3.9,50.5,7.8,0.0,0.0,1.2,27,0.5,california,4.2,48.0,3.9,0.502,7.8,1.8,2.8,82,17.0,2.0828,22.9,1.7,3.0,9.7,0.5,1996-97,2.0,5.8,MIA,US,115.66619190608813,6.0,50.2
155,5.2,47.0,11.1,0.0,0.1,2.2,28,0.7,california,4.6,48.0,5.2,0.466,11.2,3.1,4.7,78,50.0,2.0828,29.1,2.6,3.0,13.5,0.8,1997-98,2.6,7.1,TOT,US,115.66619190608813,7.0,46.6
156,4.8,47.599999999999994,10.2,0.0,0.1,1.7,28,0.7,california,4.1,48.0,4.8,0.474,10.2,3.0,4.4,52,25.0,2.0828,26.4,2.3,3.1,12.7,0.8,1997-98,2.3,6.3,MIA,US,115.66619190608813,8.0,47.4
157,5.9,46.1,12.8,0.0,0.2,3.4,28,0.8,california,5.7,48.0,5.9,0.454,13.0,3.4,5.2,26,25.0,2.0828,34.4,3.1,2.7,15.2,0.7,1997-98,3.4,8.7,LAC,US,115.66619190608813,9.0,45.4
158,3.7,41.0,9.1,0.0,0.1,1.8,29,0.7,california,3.1,48.0,3.8,0.408,9.2,2.1,3.2,49,49.0,2.0828,25.7,1.7,2.6,9.7,1.0,1998-99,2.3,4.8,ORL,US,115.66619190608813,10.0,41.099999999999994
159,2.5,43.1,5.9,0.0,0.1,1.3,30,0.6,california,3.7,48.0,2.6,0.429,6.0,1.6,2.3,59,23.0,2.0828,19.9,1.1,2.2,6.7,0.3,1999-00,1.8,4.8,WAS,US,115.66619190608813,11.0,43.0
160,1.7,36.6,4.7,0.1,0.5,1.1,31,0.4,california,3.3,48.0,1.8,0.35600000000000004,5.2,0.5,0.8,52,16.0,2.0828,16.3,1.0,1.8,4.3,0.4,2000-01,1.0,4.3,VAN,US,115.66619190608813,12.0,36.70000000000001
161,1.7,40.400000000000006,4.2,0.0,0.1,0.6,32,0.2,california,2.9,48.0,1.7,0.391,4.4,0.2,0.2,21,8.0,2.0828,14.6,0.5,1.7,3.6,0.4,2001-02,0.5,3.4,MEM,US,115.66619190608813,13.0,39.1
